epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,136.483,0.42566,0.3456,0.84854,0.95187,0.87931,0.93164,0.78861,0.59115,0.53138,0.99146,0.000990365,0.000990365,0.000990365
43,139.287,0.43307,0.35087,0.85611,0.94107,0.87248,0.94195,0.81694,0.57948,0.48059,0.96241,0.000973861,0.000973861,0.000973861
44,142.136,0.42386,0.34885,0.85358,0.96847,0.81453,0.92604,0.81331,0.58177,0.46451,0.96347,0.000957358,0.000957358,0.000957358
45,144.988,0.45216,0.35896,0.86512,0.84241,0.93389,0.93326,0.77658,0.60073,0.46966,0.9712,0.000940855,0.000940855,0.000940855
46,147.86,0.44729,0.369,0.84968,0.86533,0.93103,0.92604,0.78434,0.56776,0.48683,0.9674,0.000924352,0.000924352,0.000924352
47,150.727,0.43908,0.35304,0.86631,0.88111,0.87516,0.91954,0.78204,0.58413,0.49295,0.9591,0.000907848,0.000907848,0.000907848
48,153.545,0.43591,0.35351,0.84665,0.86329,0.86207,0.91269,0.76676,0.63124,0.51977,0.97113,0.000891345,0.000891345,0.000891345
49,156.385,0.43092,0.35373,0.86083,0.8834,0.89655,0.91962,0.78907,0.62511,0.51886,0.96058,0.000874842,0.000874842,0.000874842
50,159.233,0.45577,0.35314,0.8644,0.86187,0.93103,0.91282,0.77153,0.6302,0.65856,0.98192,0.000858338,0.000858338,0.000858338
51,162.119,0.42505,0.33613,0.85752,0.90771,0.86207,0.91364,0.79631,0.59799,0.58577,0.9725,0.000841835,0.000841835,0.000841835
52,164.985,0.4085,0.33725,0.84693,0.92679,0.87931,0.91604,0.78989,0.61039,0.52497,1.00261,0.000825332,0.000825332,0.000825332
53,167.791,0.42327,0.32992,0.85379,0.87788,0.87931,0.906,0.77702,0.61017,0.54469,1.00244,0.000808828,0.000808828,0.000808828
54,170.643,0.41804,0.32845,0.84896,0.96835,0.82759,0.90847,0.76712,0.68962,0.53341,1.08044,0.000792325,0.000792325,0.000792325
55,173.495,0.42861,0.33209,0.86071,0.92266,0.86541,0.92475,0.79514,0.62045,0.52413,0.98412,0.000775822,0.000775822,0.000775822
56,176.383,0.43845,0.34386,0.85242,0.94444,0.87583,0.92447,0.79035,0.6148,0.4789,1.02965,0.000759318,0.000759318,0.000759318
57,179.318,0.41037,0.34082,0.85281,0.89374,0.91379,0.93326,0.78132,0.64018,0.47956,1.04775,0.000742815,0.000742815,0.000742815
58,182.202,0.40773,0.3278,0.84768,0.92489,0.91379,0.93014,0.79198,0.58539,0.47899,0.9666,0.000726312,0.000726312,0.000726312
59,184.804,0.41487,0.33258,0.8564,0.93062,0.91651,0.94166,0.8061,0.57318,0.47248,0.96204,0.000709809,0.000709809,0.000709809
60,187.775,0.41693,0.33551,0.83843,0.94548,0.91379,0.9606,0.80778,0.59143,0.42445,0.98488,0.000693305,0.000693305,0.000693305
61,190.656,0.41319,0.32443,0.85988,0.95068,0.91379,0.95986,0.8086,0.55745,0.45382,0.95916,0.000676802,0.000676802,0.000676802
62,193.528,0.40224,0.32102,0.84616,0.92729,0.86207,0.93487,0.79925,0.55804,0.44971,0.96624,0.000660299,0.000660299,0.000660299
63,196.406,0.39645,0.30818,0.85072,0.91019,0.91379,0.94915,0.81746,0.57011,0.45604,0.97316,0.000643795,0.000643795,0.000643795
64,199.346,0.41116,0.32384,0.84896,0.93212,0.87931,0.94166,0.80698,0.54286,0.46503,0.93713,0.000627292,0.000627292,0.000627292
65,202.185,0.3924,0.32325,0.83488,0.92798,0.87931,0.93642,0.82243,0.52137,0.46076,0.91594,0.000610789,0.000610789,0.000610789
66,205.055,0.37796,0.29941,0.85801,0.93375,0.87931,0.93144,0.8215,0.51421,0.45109,0.90826,0.000594286,0.000594286,0.000594286
67,207.924,0.40173,0.31269,0.85725,0.94931,0.8776,0.93693,0.8206,0.51025,0.46246,0.92262,0.000577782,0.000577782,0.000577782
68,210.762,0.36114,0.29247,0.83999,0.9541,0.86207,0.93207,0.82414,0.50898,0.4755,0.92663,0.000561279,0.000561279,0.000561279
69,213.661,0.393,0.31975,0.8532,0.99102,0.86207,0.93911,0.82081,0.49952,0.48491,0.91503,0.000544776,0.000544776,0.000544776
70,216.55,0.37413,0.29059,0.83328,0.96749,0.86207,0.93986,0.82468,0.4954,0.48736,0.91105,0.000528272,0.000528272,0.000528272
71,219.532,0.38538,0.29804,0.85339,0.9653,0.91323,0.95429,0.83776,0.51112,0.44969,0.91902,0.000511769,0.000511769,0.000511769
72,222.471,0.36968,0.29974,0.84722,0.96271,0.91379,0.9508,0.83353,0.51954,0.43282,0.9185,0.000495266,0.000495266,0.000495266
73,225.304,0.37072,0.29539,0.84331,0.96317,0.91379,0.94967,0.83482,0.52761,0.42896,0.91694,0.000478762,0.000478762,0.000478762
74,228.257,0.37521,0.30087,0.84062,0.95078,0.90996,0.94306,0.83182,0.52731,0.44505,0.91953,0.000462259,0.000462259,0.000462259
75,231.09,0.35933,0.28754,0.83856,0.91535,0.9288,0.94961,0.8194,0.53133,0.46525,0.92247,0.000445756,0.000445756,0.000445756
76,233.695,0.37226,0.30321,0.84591,0.90108,0.92892,0.94795,0.82379,0.55236,0.45252,0.93376,0.000429253,0.000429253,0.000429253
77,236.565,0.3621,0.28757,0.84584,0.87482,0.94421,0.94769,0.83024,0.53486,0.45508,0.92746,0.000412749,0.000412749,0.000412749
78,239.417,0.3862,0.31277,0.859,0.90174,0.94688,0.95406,0.83552,0.50286,0.45818,0.91535,0.000396246,0.000396246,0.000396246
79,242.258,0.37563,0.29722,0.84489,0.88903,0.94828,0.94913,0.83847,0.50184,0.4746,0.91179,0.000379743,0.000379743,0.000379743
80,245.17,0.35702,0.28751,0.8317,0.90655,0.94828,0.94939,0.84077,0.49096,0.48181,0.89989,0.000363239,0.000363239,0.000363239
81,248.063,0.35263,0.28201,0.82751,0.90601,0.94229,0.94985,0.8437,0.49251,0.46979,0.89757,0.000346736,0.000346736,0.000346736
82,250.875,0.34692,0.27593,0.82714,0.88784,0.94828,0.94838,0.84657,0.46456,0.4212,0.89314,0.000330233,0.000330233,0.000330233
83,253.613,0.34857,0.29161,0.83963,0.90393,0.92585,0.95436,0.85137,0.4581,0.41213,0.89012,0.000313729,0.000313729,0.000313729
84,256.53,0.37766,0.31195,0.82585,0.94293,0.91379,0.9563,0.85324,0.47144,0.40562,0.89123,0.000297226,0.000297226,0.000297226
85,259.365,0.35397,0.2943,0.84641,0.96217,0.91379,0.9579,0.85622,0.47582,0.40722,0.89452,0.000280723,0.000280723,0.000280723
86,262.318,0.33989,0.27445,0.83475,0.97392,0.90926,0.95541,0.85164,0.47581,0.40678,0.8936,0.00026422,0.00026422,0.00026422
87,265.179,0.34645,0.27853,0.83609,0.96925,0.91379,0.95431,0.84833,0.45616,0.40368,0.88579,0.000247716,0.000247716,0.000247716
88,268.086,0.35762,0.28304,0.82413,0.96697,0.91379,0.95282,0.85371,0.45062,0.40715,0.88374,0.000231213,0.000231213,0.000231213
89,270.943,0.36413,0.2853,0.84391,0.97168,0.90972,0.954,0.84615,0.45827,0.41069,0.88451,0.00021471,0.00021471,0.00021471
90,273.861,0.33025,0.27095,0.82606,0.93059,0.89202,0.93961,0.83983,0.46692,0.40204,0.88746,0.000198206,0.000198206,0.000198206
91,288.931,0.30255,0.24848,0.8236,0.94496,0.87931,0.94084,0.8397,0.47664,0.38991,0.89395,0.000181703,0.000181703,0.000181703
92,291.95,0.33516,0.26312,0.82379,0.99552,0.85945,0.94508,0.85122,0.47969,0.39246,0.89563,0.0001652,0.0001652,0.0001652
93,294.508,0.3004,0.24928,0.81105,0.98923,0.86207,0.94956,0.85296,0.47953,0.39066,0.89615,0.000148696,0.000148696,0.000148696
94,297.139,0.31386,0.24629,0.80715,0.94807,0.87931,0.93974,0.84735,0.48449,0.39757,0.90235,0.000132193,0.000132193,0.000132193
95,299.746,0.3023,0.26277,0.81729,0.96604,0.89655,0.95213,0.84456,0.48154,0.40222,0.90268,0.00011569,0.00011569,0.00011569
96,302.621,0.30119,0.24606,0.80043,0.96475,0.89655,0.95355,0.85104,0.4814,0.41998,0.90684,9.91865e-05,9.91865e-05,9.91865e-05
97,305.22,0.29233,0.24464,0.81873,0.98718,0.89655,0.95628,0.84797,0.48209,0.41895,0.90664,8.26832e-05,8.26832e-05,8.26832e-05
98,307.845,0.29508,0.24119,0.81059,0.96872,0.89655,0.95296,0.84351,0.47922,0.41956,0.9064,6.61799e-05,6.61799e-05,6.61799e-05
99,310.47,0.29327,0.23866,0.82823,0.99485,0.87634,0.95413,0.84869,0.48058,0.42301,0.90506,4.96766e-05,4.96766e-05,4.96766e-05
100,313.314,0.28899,0.2373,0.82138,0.99492,0.87448,0.95336,0.85006,0.47745,0.41834,0.90276,3.31733e-05,3.31733e-05,3.31733e-05
