epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8726,0.54829,0.80394,0.90251,0.88118,0.92363,0.92089,0.79391,0.53649,0.73136,0.92685,0.00010002,0.00010002,0.00010002
2,32.3719,0.55697,0.71955,0.89765,0.89319,0.85305,0.93333,0.80392,0.59441,0.74526,0.95826,0.000212419,0.000212419,0.000212419
3,35.4362,0.54846,0.74755,0.90731,0.89613,0.92303,0.92956,0.81637,0.55348,0.73923,0.92854,0.000320197,0.000320197,0.000320197
4,38.4232,0.57373,0.8085,0.90291,0.90566,0.82276,0.91456,0.80344,0.562,0.81418,0.92154,0.000423355,0.000423355,0.000423355
5,41.3783,0.54161,0.76271,0.91172,0.87234,0.89059,0.93494,0.82525,0.56372,0.76397,0.9207,0.000521891,0.000521891,0.000521891
6,44.282,0.5678,0.77832,0.9222,0.87003,0.87931,0.93738,0.80101,0.57351,0.75017,0.91233,0.000615806,0.000615806,0.000615806
7,46.9785,0.55413,0.75904,0.89494,0.95011,0.7931,0.92174,0.77075,0.6537,0.77191,0.95049,0.000705101,0.000705101,0.000705101
8,49.9872,0.61335,0.79863,0.93103,0.82816,0.84483,0.90539,0.76638,0.60568,0.78312,0.9385,0.000789775,0.000789775,0.000789775
9,52.8901,0.59609,0.79908,0.93175,0.82827,0.89596,0.87489,0.72327,0.67692,0.90061,0.97276,0.000869827,0.000869827,0.000869827
10,55.7675,0.61635,0.79852,0.93364,0.87613,0.82759,0.90548,0.73827,0.69104,0.81009,0.98986,0.000945259,0.000945259,0.000945259
11,58.6544,0.61413,0.80572,0.92435,0.92979,0.87322,0.94518,0.77151,0.63354,0.75122,0.98823,0.00101607,0.00101607,0.00101607
12,61.5596,0.58046,0.75018,0.91075,0.85605,0.86207,0.88865,0.7415,0.64326,0.74097,0.97313,0.00108226,0.00108226,0.00108226
13,64.4726,0.61822,0.74502,0.92343,0.96738,0.82503,0.90615,0.76358,0.63127,0.67975,0.95302,0.00114383,0.00114383,0.00114383
14,67.3836,0.55731,0.69898,0.8909,0.91828,0.82759,0.88069,0.74322,0.64836,0.7059,0.98961,0.00120078,0.00120078,0.00120078
15,70.2486,0.61552,0.70213,0.91836,0.86473,0.87931,0.87482,0.71338,0.69697,0.7382,1.01782,0.00120491,0.00120491,0.00120491
