epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97057,1.431,4.22389,1.32234,0.6799,0.58183,0.60442,0.5273,0.89633,1.96885,1.10316,0.00010002,0.00010002,0.00010002
2,9.64545,0.97886,1.61507,1.10218,0.6669,0.77586,0.72202,0.59324,0.80446,2.26228,0.98124,0.000205983,0.000205983,0.000205983
3,13.185,0.89228,1.2101,1.03302,0.83557,0.7931,0.82447,0.67099,0.72447,0.99596,0.93284,0.000300393,0.000300393,0.000300393
4,16.4988,0.87171,1.07038,1.02477,0.86065,0.79082,0.83392,0.6488,0.78919,1.44396,0.96899,0.000383252,0.000383252,0.000383252
5,19.7309,0.84799,0.96744,1.03538,0.65745,0.7511,0.62815,0.51711,0.86283,2.6941,1.02221,0.000454558,0.000454558,0.000454558
6,22.9098,0.79425,0.81977,1.03983,0.78065,0.74138,0.74718,0.60679,0.79152,1.31111,0.99727,0.000514311,0.000514311,0.000514311
7,26.1528,0.808,0.80534,1.00014,0.2675,0.7931,0.22558,0.16404,0.85235,9.41316,1.04145,0.000562512,0.000562512,0.000562512
8,29.3062,0.85369,0.74241,1.00444,0.83404,0.77586,0.77847,0.58409,0.9812,1.23676,1.15286,0.000599161,0.000599161,0.000599161
9,32.4953,0.81496,0.73607,1.00708,0.78939,0.746,0.76719,0.6093,0.93315,0.88285,1.10421,0.000624258,0.000624258,0.000624258
10,36.1422,0.83411,0.72607,1.00833,0.59553,0.75866,0.74518,0.60056,0.87266,1.09194,1.07549,0.000637803,0.000637803,0.000637803
11,45.2016,0.756,0.70529,0.9754,0.83321,0.74138,0.7881,0.6496,0.82033,1.30263,1.04625,0.000639795,0.000639795,0.000639795
12,48.4294,0.7378,0.64181,0.97611,0.84283,0.66144,0.78069,0.62981,0.79502,1.52974,1.01974,0.000630234,0.000630234,0.000630234
13,51.5168,0.72304,0.58969,0.96342,0.74177,0.75313,0.76808,0.63384,0.85501,1.22066,1.0695,0.000609122,0.000609122,0.000609122
