epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6785,1.213,4.20454,1.32253,0.00668,0.68966,0.5069,0.43645,0.85505,3.44001,1.08818,0.00010002,0.00010002,0.00010002
2,30.2863,1.08087,2.89822,1.2353,1,0.49042,0.55181,0.47086,0.8099,2.8887,1.06497,0.000205983,0.000205983,0.000205983
3,33.4488,0.94674,2.33748,1.15445,1,0.42846,0.5612,0.50385,0.7886,2.84534,1.04382,0.000300393,0.000300393,0.000300393
4,36.5826,0.92773,2.34888,1.1189,1,0.43021,0.57738,0.51268,0.78813,2.84403,1.06167,0.000383252,0.000383252,0.000383252
5,39.688,0.91882,2.06737,1.12363,0.98462,0.5,0.60564,0.52294,0.85444,2.60729,1.10727,0.000454558,0.000454558,0.000454558
6,42.7874,0.83705,1.92433,1.10134,0.98112,0.5,0.59613,0.51416,0.8128,2.5328,1.06962,0.000514311,0.000514311,0.000514311
7,45.6604,0.86155,1.82816,1.08295,0.98033,0.5,0.67242,0.60528,0.74695,2.35003,1.01687,0.000562512,0.000562512,0.000562512
8,48.7385,0.85464,1.74549,1.09628,0.87571,0.57801,0.68031,0.58834,0.74274,2.00349,1.00181,0.000599161,0.000599161,0.000599161
9,51.8652,0.78393,1.59994,1.04476,0.95603,0.58621,0.74251,0.65185,0.70902,1.96989,0.98645,0.000624258,0.000624258,0.000624258
10,54.9484,0.84127,1.68915,1.0573,0.97844,0.60597,0.79596,0.68129,0.75939,2.02642,1.00181,0.000637803,0.000637803,0.000637803
11,75.2973,0.77188,2.13795,1.01576,0.98553,0.57673,0.7571,0.63357,0.83163,2.2576,1.03974,0.000639795,0.000639795,0.000639795
12,79.1436,0.81849,2.17196,1.06249,0.93401,0.66352,0.82969,0.67258,0.79054,1.77242,1.06912,0.000630234,0.000630234,0.000630234
13,82.1614,0.73702,2.00671,0.99504,0.9333,0.65517,0.83178,0.68998,0.72601,1.73756,1.01825,0.000609122,0.000609122,0.000609122
14,85.3321,0.73329,1.90681,1.02816,0.81433,0.77586,0.83465,0.69173,0.73731,1.57312,1.03438,0.000576457,0.000576457,0.000576457
15,88.3129,0.75761,1.94535,1.01758,0.83288,0.75234,0.85281,0.71137,0.71815,1.45592,1.03045,0.000511769,0.000511769,0.000511769
16,91.2715,0.75344,1.93564,0.99529,0.85185,0.7931,0.8622,0.70358,0.70301,1.38803,1.00478,0.000429253,0.000429253,0.000429253
17,94.191,0.68847,1.85307,1.00097,0.81428,0.77586,0.86141,0.70794,0.68986,1.38666,1.00102,0.000346736,0.000346736,0.000346736
18,97.0782,0.67351,1.79348,0.98058,0.8408,0.81034,0.86413,0.72061,0.67549,1.272,1.00308,0.00026422,0.00026422,0.00026422
19,99.9948,0.63449,1.71863,0.96463,0.89709,0.7931,0.88111,0.73915,0.63343,1.13402,0.97542,0.000181703,0.000181703,0.000181703
20,102.808,0.62202,1.61921,0.95965,0.90613,0.79036,0.87843,0.74223,0.61304,1.07305,0.95796,9.91865e-05,9.91865e-05,9.91865e-05
