epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4838,1.213,4.20454,1.32253,0.00668,0.68966,0.5069,0.43645,0.85505,3.44001,1.08818,0.00010002,0.00010002,0.00010002
2,24.3465,1.09152,2.87713,1.23629,0.95449,0.5,0.52797,0.46494,0.75497,2.89419,1.02761,0.000212419,0.000212419,0.000212419
3,27.5375,0.94978,2.32338,1.15969,1,0.38061,0.55411,0.49607,0.80551,2.85223,1.07304,0.000320197,0.000320197,0.000320197
4,30.6596,0.9247,2.32743,1.12443,1,0.44199,0.58427,0.52335,0.78071,2.8251,1.0799,0.000423355,0.000423355,0.000423355
5,33.8348,0.87065,2.00964,1.10392,0.98484,0.5,0.60883,0.5273,0.80302,2.55555,1.08411,0.000521891,0.000521891,0.000521891
6,36.9747,0.83193,1.91874,1.09549,0.98236,0.5,0.5687,0.49679,0.90421,2.54365,1.08579,0.000615806,0.000615806,0.000615806
7,39.8758,0.84169,1.83347,1.05569,0.98547,0.5,0.57091,0.51483,0.84475,2.416,1.11048,0.000705101,0.000705101,0.000705101
8,42.9835,0.86472,1.75902,1.08436,0.99219,0.53062,0.58766,0.52026,0.84775,2.344,1.10127,0.000789775,0.000789775,0.000789775
9,46.1108,0.82523,1.64529,1.05541,0.98182,0.55786,0.76092,0.62108,0.81685,1.93976,1.04569,0.000869827,0.000869827,0.000869827
10,49.1848,0.88293,1.73291,1.07366,0.9067,0.64392,0.79194,0.64299,0.77102,1.85738,1.0562,0.000945259,0.000945259,0.000945259
11,52.2882,0.88368,1.65822,1.09096,0.86936,0.63793,0.79475,0.61683,0.87328,1.8027,1.14965,0.00101607,0.00101607,0.00101607
12,55.3721,0.84272,1.54932,1.0554,0.91957,0.68579,0.74899,0.63599,0.80533,1.75989,1.11081,0.00108226,0.00108226,0.00108226
13,58.3673,0.85754,1.51125,1.04434,0.86738,0.7069,0.75766,0.61394,0.83343,1.80952,1.12095,0.00114383,0.00114383,0.00114383
14,61.4032,0.81304,1.45989,1.02338,0.8332,0.74649,0.81397,0.6579,0.80055,1.61032,1.07361,0.00120078,0.00120078,0.00120078
15,64.4045,0.8055,1.36194,1.01428,0.76422,0.77586,0.84741,0.65634,0.76674,1.31163,1.07271,0.00120491,0.00120491,0.00120491
