epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6589,0.46596,0.7025,0.86816,0.86117,0.90905,0.93818,0.82361,0.53045,0.64649,0.90472,0.00010002,0.00010002,0.00010002
2,28.6878,0.47596,0.62819,0.86191,0.79827,0.87931,0.88676,0.72817,0.63064,0.78095,0.96644,0.000214565,0.000214565,0.000214565
3,31.6795,0.51514,0.68614,0.88474,0.84257,0.87465,0.90035,0.74298,0.62192,0.76217,0.95082,0.000326799,0.000326799,0.000326799
4,34.5788,0.54233,0.73204,0.88533,0.8996,0.89655,0.92714,0.78243,0.66821,0.80904,0.98058,0.000436722,0.000436722,0.000436722
5,37.4737,0.55245,0.71811,0.90231,0.87095,0.86207,0.92455,0.78308,0.64005,0.72745,1.00175,0.000544336,0.000544336,0.000544336
6,40.3957,0.54789,0.74185,0.91456,0.97521,0.80497,0.90994,0.75057,0.65617,0.74547,0.97182,0.000649638,0.000649638,0.000649638
7,43.1136,0.55139,0.72792,0.88712,0.93507,0.82315,0.90218,0.77106,0.66575,0.77471,0.99824,0.00075263,0.00075263,0.00075263
8,46.0014,0.63514,0.7763,0.93327,0.96,0.7931,0.90716,0.75194,0.72352,0.80282,1.02866,0.000853312,0.000853312,0.000853312
9,48.9015,0.58912,0.73952,0.93491,0.85808,0.87931,0.91356,0.7324,0.74352,0.75108,1.02929,0.000951684,0.000951684,0.000951684
10,51.8401,0.61102,0.77604,0.93508,0.84292,0.87931,0.88928,0.75658,0.66423,0.72172,0.97772,0.00104774,0.00104774,0.00104774
11,54.7101,0.61361,0.77451,0.92992,0.90409,0.86207,0.91203,0.76282,0.61886,0.71639,0.94546,0.00114149,0.00114149,0.00114149
12,57.6133,0.62137,0.75903,0.92344,0.86236,0.93103,0.92812,0.76258,0.63279,0.70354,0.98138,0.00123293,0.00123293,0.00123293
13,60.4476,0.64807,0.76737,0.9408,0.97243,0.80959,0.90287,0.76857,0.66191,0.73579,0.99834,0.00132206,0.00132206,0.00132206
14,63.3245,0.59732,0.72371,0.91304,0.88504,0.89655,0.90454,0.7474,0.66433,0.73247,1.01727,0.00140888,0.00140888,0.00140888
15,66.2072,0.65567,0.73052,0.94365,0.86388,0.87617,0.90244,0.75502,0.67593,0.73393,0.99411,0.00143595,0.00143595,0.00143595
16,69.0565,0.64315,0.72325,0.96253,0.79884,0.87931,0.86984,0.73481,0.66195,0.71894,1.00212,0.00141945,0.00141945,0.00141945
17,71.6394,0.63293,0.72601,0.94448,0.79565,0.90134,0.87334,0.72429,0.68854,0.70529,0.98036,0.00140295,0.00140295,0.00140295
18,74.265,0.61619,0.70519,0.92443,0.79512,0.91016,0.87605,0.74479,0.62266,0.6889,0.97507,0.00138644,0.00138644,0.00138644
19,76.8692,0.6123,0.68443,0.92963,0.80077,0.82759,0.87221,0.73738,0.64236,0.75748,0.97794,0.00136994,0.00136994,0.00136994
20,79.8034,0.63733,0.6952,0.93926,0.8655,0.84117,0.88129,0.72393,0.72462,0.71857,1.02936,0.00135344,0.00135344,0.00135344
21,82.6193,0.63497,0.68751,0.94837,0.91411,0.84483,0.89699,0.76207,0.69863,0.66178,1.01963,0.00133693,0.00133693,0.00133693
22,85.484,0.63365,0.65866,0.9426,0.88372,0.82777,0.89536,0.74837,0.66891,0.61973,0.99922,0.00132043,0.00132043,0.00132043
23,88.3574,0.59425,0.66998,0.93722,0.93963,0.801,0.89235,0.76881,0.6287,0.60005,0.96897,0.00130393,0.00130393,0.00130393
24,91.1957,0.61066,0.63594,0.92767,0.88104,0.86905,0.8924,0.74371,0.69909,0.76094,1.00409,0.00128742,0.00128742,0.00128742
25,94.0056,0.58026,0.61836,0.90656,0.88728,0.87732,0.88068,0.72375,0.67935,0.75725,1.0093,0.00127092,0.00127092,0.00127092
26,96.877,0.57799,0.60802,0.90447,0.85415,0.89655,0.91606,0.76442,0.64458,0.65697,0.9864,0.00125442,0.00125442,0.00125442
27,99.7265,0.62587,0.64817,0.949,0.91611,0.82759,0.92138,0.77911,0.60671,0.84375,0.97148,0.00123791,0.00123791,0.00123791
28,102.566,0.57959,0.5798,0.90731,0.91704,0.84389,0.9329,0.73406,0.66807,0.65583,1.00072,0.00122141,0.00122141,0.00122141
29,105.156,0.57582,0.60164,0.91723,0.91946,0.87486,0.92396,0.7446,0.68206,0.67823,0.97177,0.00120491,0.00120491,0.00120491
30,108.018,0.57454,0.56354,0.90428,0.90752,0.88081,0.9041,0.72617,0.65846,0.68554,0.96557,0.0011884,0.0011884,0.0011884
31,110.843,0.54131,0.55969,0.8908,0.91423,0.88334,0.91593,0.76802,0.62089,0.61563,0.9634,0.0011719,0.0011719,0.0011719
32,113.67,0.60586,0.58322,0.91272,0.92724,0.90807,0.90878,0.75301,0.71599,0.6593,1.01608,0.0011554,0.0011554,0.0011554
33,116.499,0.5746,0.55003,0.91266,0.9287,0.89655,0.93548,0.77145,0.70305,0.63039,1.02397,0.00113889,0.00113889,0.00113889
34,119.346,0.52616,0.50504,0.89222,0.95198,0.86207,0.92865,0.77903,0.67582,0.57797,1.01099,0.00112239,0.00112239,0.00112239
35,122.231,0.57567,0.53215,0.92369,0.95821,0.89655,0.93424,0.78276,0.67176,0.54267,1.00241,0.00110589,0.00110589,0.00110589
36,125.083,0.53611,0.50077,0.88493,0.96654,0.89655,0.94782,0.81171,0.61406,0.50472,0.95336,0.00108938,0.00108938,0.00108938
