epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6213,0.53282,0.75661,0.88157,0.86155,0.90491,0.93551,0.82155,0.5554,0.7007,0.91158,0.00010002,0.00010002,0.00010002
2,29.7619,0.46847,0.63631,0.8643,0.86504,0.84483,0.91051,0.77038,0.60549,0.74187,0.95374,0.000212419,0.000212419,0.000212419
3,32.7356,0.49404,0.68626,0.87673,0.85751,0.89655,0.90813,0.78322,0.59654,0.77567,0.93617,0.000320197,0.000320197,0.000320197
4,35.6187,0.51643,0.72488,0.87803,0.88676,0.86207,0.91041,0.77883,0.65465,0.85921,0.96036,0.000423355,0.000423355,0.000423355
5,38.6145,0.53323,0.72033,0.90169,0.82987,0.91379,0.92724,0.8141,0.58449,0.72005,0.93025,0.000521891,0.000521891,0.000521891
6,41.5911,0.52581,0.72052,0.90529,0.79924,0.89655,0.91074,0.77375,0.58934,0.73822,0.92152,0.000615806,0.000615806,0.000615806
7,44.3,0.55502,0.73641,0.88897,0.8917,0.84483,0.91938,0.75485,0.65839,0.82109,0.96305,0.000705101,0.000705101,0.000705101
8,47.3167,0.59659,0.74626,0.91775,0.90766,0.81191,0.90349,0.74241,0.68483,0.83284,0.97938,0.000789775,0.000789775,0.000789775
9,50.2935,0.5664,0.733,0.92903,0.89748,0.82759,0.9139,0.75278,0.64085,0.78204,0.96166,0.000869827,0.000869827,0.000869827
10,53.2654,0.5978,0.77356,0.93336,0.89253,0.89083,0.92254,0.76506,0.60439,0.69805,0.9464,0.000945259,0.000945259,0.000945259
11,56.1014,0.60877,0.75184,0.93313,0.84571,0.90513,0.90107,0.73903,0.66537,0.72004,1.00689,0.00101607,0.00101607,0.00101607
