epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.38792,1.37589,2.99802,1.26737,0.32433,0.2582,0.30369,0.28339,0.95727,2.85265,1.16924,0.00010002,0.00010002,0.00010002
2,11.1971,1.13351,1.87511,1.15515,0.75008,0.64969,0.70567,0.54355,0.95409,1.37974,1.01403,0.000205983,0.000205983,0.000205983
3,15.5543,0.94597,1.19351,1.05858,0.86264,0.60345,0.69717,0.53169,0.97242,1.27324,1.04492,0.000300393,0.000300393,0.000300393
4,20.1971,0.91464,1.00943,1.05838,0.61,0.6165,0.6089,0.50739,0.95709,1.31139,1.10366,0.000383252,0.000383252,0.000383252
5,24.8933,0.91895,0.92765,1.06281,0.49922,0.68417,0.55276,0.37299,1.12767,1.75411,1.29471,0.000454558,0.000454558,0.000454558
6,29.9608,0.93102,0.98848,1.07861,0.77653,0.7069,0.7063,0.48757,1.08922,1.21718,1.14619,0.000514311,0.000514311,0.000514311
7,35.5009,0.96515,0.93952,1.07071,0.58254,0.67241,0.65137,0.50365,0.95632,1.66315,1.13638,0.000562512,0.000562512,0.000562512
8,40.1151,0.94745,0.91128,1.0753,0.68426,0.68966,0.67285,0.51246,1.01201,2.6138,1.19337,0.000599161,0.000599161,0.000599161
9,43.9691,0.8808,0.83898,1.02706,0.78511,0.69046,0.75875,0.61324,0.92705,1.38002,1.06837,0.000624258,0.000624258,0.000624258
10,49.0271,0.92691,0.82143,1.04491,0.72508,0.75427,0.71888,0.58355,0.89145,1.82295,1.09475,0.000637803,0.000637803,0.000637803
11,59.537,0.83023,0.77086,1.03321,0.79175,0.70628,0.74033,0.58719,0.91673,2.10367,1.1228,0.000639795,0.000639795,0.000639795
12,63.9046,0.81081,0.75205,1.01283,0.92999,0.68966,0.77515,0.58182,0.95079,0.91679,1.15884,0.000630234,0.000630234,0.000630234
13,68.9871,0.91994,0.7153,1.05444,0.82348,0.72414,0.73916,0.56965,1.01338,0.83752,1.2031,0.000609122,0.000609122,0.000609122
14,73.2305,0.84521,0.70539,1.05285,0.278,0.6152,0.30113,0.28384,0.88561,44.3028,1.08059,0.000576457,0.000576457,0.000576457
15,77.7371,0.82368,0.68366,1.00818,0.16628,0.72414,0.18558,0.15964,0.86934,6.62323,1.07194,0.000511769,0.000511769,0.000511769
16,82.3529,0.83095,0.66372,1.00133,0.52043,0.65517,0.53042,0.48929,0.73596,3.82787,0.99391,0.000429253,0.000429253,0.000429253
17,89.1424,0.74174,0.60992,1.00271,0.77935,0.74849,0.73945,0.62275,0.73199,2.1381,0.98553,0.000346736,0.000346736,0.000346736
18,93.7943,0.70583,0.55432,0.96081,0.90648,0.77586,0.8485,0.71113,0.67905,0.81333,0.94276,0.00026422,0.00026422,0.00026422
19,99.4279,0.69553,0.56299,0.95572,0.8954,0.7931,0.84563,0.72856,0.65013,0.62998,0.93392,0.000181703,0.000181703,0.000181703
20,103.622,0.6679,0.53865,0.95779,0.8294,0.81034,0.85553,0.73595,0.61801,0.56485,0.91611,9.91865e-05,9.91865e-05,9.91865e-05
