epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6967,1.44288,3.73218,1.34235,0.13386,0.13636,0.13575,0.12071,1.10561,4.0856,1.2158,0.00010002,0.00010002,0.00010002
2,75.834,1.16498,2.20659,1.1982,0.6652,0.56897,0.6064,0.45378,1.18793,1.84428,1.17135,0.000205983,0.000205983,0.000205983
3,109.247,0.92463,1.267,1.08145,0.45912,0.5,0.52665,0.44741,0.90312,2.37857,1.05764,0.000300393,0.000300393,0.000300393
4,146.801,0.90028,1.05556,1.07251,0.54804,0.72414,0.56946,0.48568,0.96934,2.4677,1.11525,0.000383252,0.000383252,0.000383252
5,192.669,0.90562,0.94086,1.06022,0.10787,0.60345,0.13441,0.11306,0.95025,90.4024,1.09452,0.000454558,0.000454558,0.000454558
6,230.655,0.8841,0.93524,1.04679,0.6771,0.59248,0.60246,0.50097,1.04929,1.98332,1.16126,0.000514311,0.000514311,0.000514311
7,271.866,0.87771,0.83999,1.0321,0.37557,0.15439,0.22529,0.18662,2.11128,208.182,1.9596,0.000562512,0.000562512,0.000562512
8,305.216,0.93153,0.82879,1.07015,0.38328,0.27978,0.20978,0.14122,2.12659,18.6814,2.25287,0.000599161,0.000599161,0.000599161
9,339.567,0.95017,0.87558,1.10122,0.55473,0.46238,0.42318,0.32989,1.32978,4.15712,1.50014,0.000624258,0.000624258,0.000624258
10,371.66,0.99215,0.82186,1.09065,0.54745,0.49608,0.42464,0.33195,1.23633,3.3571,1.36812,0.000637803,0.000637803,0.000637803
11,412.873,0.89562,0.80181,1.05483,0.49552,0.45063,0.39464,0.31513,1.28792,20.7158,1.46076,0.000639795,0.000639795,0.000639795
12,447.737,0.83852,0.79487,1.03824,0.61267,0.86775,0.73725,0.57615,1.04697,1.84513,1.23706,0.000630234,0.000630234,0.000630234
13,480.714,0.82913,0.70082,1.01247,0.52263,0.75001,0.4885,0.43518,1.01842,5.6623,1.23419,0.000609122,0.000609122,0.000609122
14,521.906,0.86558,0.78228,1.07201,0.50548,0.63871,0.45926,0.40612,1.1043,14.1668,1.26267,0.000576457,0.000576457,0.000576457
15,558.711,0.85743,0.78357,1.04825,0.57817,0.7703,0.57885,0.49333,0.98104,3.29539,1.22416,0.000511769,0.000511769,0.000511769
16,599.259,0.83269,0.71711,1.028,0.84812,0.69516,0.79485,0.64212,0.84106,1.10669,1.0853,0.000429253,0.000429253,0.000429253
17,633.479,0.76311,0.68649,1.02918,0.77233,0.75862,0.82693,0.65348,0.82062,1.33125,1.04681,0.000346736,0.000346736,0.000346736
18,673.839,0.72239,0.63188,0.99483,0.77696,0.75862,0.81129,0.69555,0.72192,1.40677,0.98438,0.00026422,0.00026422,0.00026422
19,711.862,0.7099,0.56838,0.96795,0.81723,0.80789,0.82197,0.71785,0.68257,0.83813,0.94851,0.000181703,0.000181703,0.000181703
20,754.336,0.6948,0.5693,0.97635,0.84754,0.82759,0.84635,0.74223,0.64217,0.68438,0.93261,9.91865e-05,9.91865e-05,9.91865e-05
