epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5586,1.24158,4.17667,1.32996,0.01314,0.68966,0.46706,0.36142,0.94549,3.45603,1.14941,0.00010002,0.00010002,0.00010002
2,64.7909,1.07345,3.42725,1.23239,0.00952,0.68966,0.52728,0.47714,0.88361,3.35201,1.1012,0.000205983,0.000205983,0.000205983
3,90.062,1.03366,2.81659,1.22359,0.00822,0.74138,0.52894,0.47835,0.80351,3.18045,1.06172,0.000300393,0.000300393,0.000300393
4,112.16,0.99276,2.4808,1.18037,0.00633,0.63793,0.5125,0.46296,0.83027,3.20087,1.09254,0.000383252,0.000383252,0.000383252
5,131.673,0.93359,2.23084,1.17344,0.00636,0.65517,0.56621,0.48709,0.88763,3.16667,1.17531,0.000454558,0.000454558,0.000454558
6,155.738,0.8861,2.09309,1.17151,0.92079,0.5,0.60529,0.48754,0.85935,3.07734,1.13763,0.000514311,0.000514311,0.000514311
7,177.265,0.87777,1.98608,1.11372,1,0.48479,0.63195,0.53459,0.75213,2.90741,1.04917,0.000562512,0.000562512,0.000562512
8,201.336,0.91726,1.96175,1.11787,1,0.43334,0.68376,0.57332,0.75061,2.74775,1.00355,0.000599161,0.000599161,0.000599161
9,222.958,0.863,1.83968,1.10204,0.96556,0.5,0.75078,0.62538,0.78574,2.45586,1.0314,0.000624258,0.000624258,0.000624258
10,243.808,0.89548,1.8653,1.11378,0.98175,0.52361,0.78635,0.62801,0.83444,2.35331,1.096,0.000637803,0.000637803,0.000637803
11,271.736,0.80143,2.35503,1.08033,0.96338,0.56897,0.73613,0.59156,0.83108,2.41527,1.11416,0.000639795,0.000639795,0.000639795
12,294.403,0.80516,2.33945,1.06321,0.94471,0.68966,0.87002,0.67331,0.8091,2.16426,1.0904,0.000630234,0.000630234,0.000630234
13,312.645,0.78279,2.2271,1.04008,0.94925,0.75836,0.87786,0.70334,0.80742,1.9856,1.10029,0.000609122,0.000609122,0.000609122
14,331.163,0.75941,2.13539,1.05106,0.8761,0.74138,0.83068,0.6822,0.80182,1.72599,1.08733,0.000576457,0.000576457,0.000576457
15,349.225,0.7801,2.16017,1.06959,0.84436,0.80316,0.83012,0.661,0.78858,1.61643,1.05642,0.000511769,0.000511769,0.000511769
16,367.34,0.77311,2.11369,1.02294,0.88958,0.81034,0.86023,0.70763,0.74829,1.50519,1.02204,0.000429253,0.000429253,0.000429253
17,383.959,0.70733,1.99461,1.03505,0.89368,0.81961,0.86741,0.71264,0.73518,1.44822,1.02207,0.000346736,0.000346736,0.000346736
18,405.157,0.71973,1.95515,1.00575,0.81982,0.84483,0.86622,0.69356,0.75622,1.3038,1.05688,0.00026422,0.00026422,0.00026422
19,423.156,0.67473,1.90104,0.99201,0.95585,0.7931,0.8765,0.7019,0.75701,1.19792,1.07975,0.000181703,0.000181703,0.000181703
20,441.476,0.67289,1.82996,0.99682,0.95299,0.7931,0.88557,0.72136,0.73179,1.13419,1.07309,9.91865e-05,9.91865e-05,9.91865e-05
